feature,class
"[-146.9628       88.22245     -71.56997      54.609814    -25.525213
   15.557419    -10.369696     -2.860002     -7.758318      2.6462834
   -5.2821193     6.8113055    -3.4378824     7.3053327     0.42737433
    1.0987592    -5.7499013    -5.015152     -6.2091985    -5.6013646
   -4.859241     -0.62252665   -6.6764984     0.39898932   -2.9712224
    0.6399837    -5.3761945    -7.1677523    -4.9040675    -6.1927447
   -7.9179454     2.3211355     2.211415      5.494324     -0.62562466
    0.2567327     1.1551659     0.63223666   -0.5064902    -6.7533684 ]",Mohanam
"[-3.2300223e+02  9.5035919e+01 -5.1754780e+01  6.7554083e+00
 -1.8689964e+01 -1.0001725e+01 -3.0997459e+01 -3.5519233e-01
 -1.0254519e+01 -1.7093893e+01 -1.0830441e+01 -4.0931611e+00
  6.3804779e+00 -1.1835437e+01  4.5975699e+00  1.5419437e+00
  6.1214709e-01 -5.2592382e+00 -1.3538851e+01  8.4457529e-01
  1.6757855e+00 -3.9162159e-01 -7.8397260e+00 -8.1712353e-01
  1.7344222e+00 -2.0186692e-01  4.2287741e+00  3.0452175e+00
 -8.0917639e-01 -2.9651062e+00 -7.7942276e+00 -7.4444256e+00
  9.6795845e-01 -1.2321583e+00 -2.8299329e+00 -2.0640767e+00
 -5.9746957e+00 -3.5045362e+00 -2.2390120e+00 -3.8624196e+00]",Mohanam
"[-318.25247      91.455414    -53.066055      9.181376    -19.852814
   -8.7176695   -31.51769       1.3646543   -11.98576     -16.586203
   -9.246503     -1.2311693     9.36066      -8.11027       7.470779
    4.2364044     1.7209188    -3.2457352   -12.489986     -0.66715235
   -1.438118     -3.5032096   -10.145238     -0.82641166    2.8284736
   -0.6987171     1.8471982     2.347891     -2.0040667    -2.0126436
   -5.3947577    -6.403531     -0.32069048   -1.8354944    -0.85953134
   -0.53767      -4.837562     -3.513072     -1.3760772    -4.4295115 ]",Mohanam
"[-3.06175110e+02  8.55257645e+01 -5.37312088e+01  5.78146267e+00
 -1.87279167e+01 -1.06072102e+01 -3.01818810e+01 -5.60110286e-02
 -1.07635765e+01 -1.84708672e+01 -1.15047588e+01 -2.88113856e+00
  8.60199451e+00 -1.21198483e+01  5.30485487e+00  3.18879986e+00
  8.56670618e-01 -2.68877625e+00 -1.31610603e+01  7.90271401e-01
  2.71203208e+00  1.65874684e+00 -5.20996332e+00  8.40558410e-01
  3.36077118e+00 -3.49278522e+00  3.68150473e-01  1.80479312e+00
 -1.48309457e+00 -4.24916744e+00 -9.35264206e+00 -7.74421835e+00
  7.44283020e-01 -3.34648281e-01 -1.48507369e+00 -1.34299171e+00
 -4.66967630e+00 -3.79557037e+00 -3.72621608e+00 -5.11257744e+00]",Mohanam
"[-3.5321185e+02  1.1959186e+02  2.4895426e+01  2.5061195e+01
 -2.8054299e+00  2.0681918e+00  6.5572915e+00 -8.7646675e+00
 -1.8379292e+01  4.3493867e+00  5.5406551e+00  1.1986189e+00
  7.6565413e+00 -1.0397264e+00  2.7152989e+00  1.0972548e+01
 -8.8593140e+00  7.7532477e+00 -4.1745939e+00 -2.3107023e+00
 -3.3953092e+00 -2.0390730e+00 -7.6380410e+00  1.4795897e+00
 -6.1394339e+00 -5.6902933e+00 -2.4810376e+00  9.8794961e-01
  2.6597681e+00  7.5584154e+00  2.7015455e+00  2.4055634e+00
 -2.6968932e+00 -4.1072049e+00 -1.8681813e+00 -1.9713297e+00
 -2.6267729e+00  3.5100719e-01 -3.8660741e-01  2.2526051e-01]",Nata
"[-334.3255       98.12799      24.627533     23.619667      4.6397386
    6.6223483   -10.272469     -7.636451    -10.377637      2.4243321
    4.939841     -0.5824338     2.0363796     4.2057204     3.1519864
    7.6780868   -10.838328      5.1117063    -3.0905752     0.55373126
   -6.5081263    -1.427203     -2.4493964     3.6690018    -2.4020414
   -3.8267696     1.6324494     7.3992944     3.9077988     8.549117
    1.5252502    -2.301907     -3.9374175    -2.8631313    -1.440073
   -1.2675622    -4.3372207    -2.796529     -5.6363254    -2.1828659 ]",Nata
"[-3.48495209e+02  1.14427605e+02  1.80483150e+01  2.87537308e+01
  1.55899267e+01 -1.98909938e+00 -4.60618830e+00 -1.19792633e+01
 -1.19029675e+01  1.60794072e-02  8.36803973e-01 -1.42129809e-01
  4.08014022e-02  3.81415009e-01  5.55653477e+00  1.12326117e+01
 -4.89953470e+00  2.51893616e+00 -2.55502439e+00 -3.68861151e+00
 -1.55895972e+00 -6.59372032e-01 -5.28511810e+00  3.46147478e-01
 -4.17560959e+00  1.72430611e+00 -4.36361581e-01 -1.79551256e+00
 -5.33872843e+00 -2.82803595e-01 -7.18481606e-03  8.54210913e-01
 -2.19881749e+00 -1.57301986e+00 -1.49949336e+00 -4.64979172e+00
 -5.54673672e+00 -2.58569241e+00 -3.54750323e+00 -3.19895053e+00]",Nata
"[-1.6945189e+02  7.9426453e+01 -6.4578522e+01  5.8773998e+01
 -2.3257280e+01  8.6307001e+00 -3.8503239e+00  4.0071216e+00
 -4.9575958e+00 -2.7408204e+00 -6.7355404e+00  6.7122936e+00
 -1.0118162e+01  1.1819568e+01 -2.5517601e-01  5.2711201e+00
 -4.7125568e+00 -6.1489639e+00 -3.8180666e+00 -4.9452934e+00
 -3.5289688e+00 -9.8581219e+00 -6.8791785e+00 -4.3671274e+00
 -6.4073277e+00 -2.5030518e+00 -4.7626287e-01  5.1764150e+00
 -1.2612365e+00 -3.9621131e+00 -9.4596310e+00 -2.0011404e+00
 -5.1416798e+00  3.1688431e-01 -3.9941239e+00  2.3335824e+00
 -1.2353308e-01  3.6126719e+00  8.6472496e-02 -1.4486533e+00]",Nata
"[-177.13115      85.14658     -64.99939      53.943073    -15.411576
    6.36526      -7.461148     12.686636    -11.268331      6.0221424
   -7.7148657     7.40449      -1.5346456     0.18215919   -1.1996493
   -3.2191327    -3.0313745    -5.221834     -1.2270484    -3.9737837
  -12.586136     -5.1405344   -10.899949     -4.597594    -10.024754
    1.3387473    -1.8561989     3.3472962    -1.8072215    -2.73574
   -8.751675      0.53918386   -4.1914153     2.5040562     0.3845633
    0.5917455    -0.26173133    3.870345      1.10261      -0.81514335]",Nata
"[-3.5567584e+02  1.2517910e+02  1.8903931e+01  2.7903118e+01
  2.2609646e+00 -2.7917840e+00  7.6986156e+00 -1.1670318e+01
 -1.6065216e+01  2.1583292e+00 -1.5090286e+00  2.0321112e+00
  6.3132973e+00 -4.7528582e+00  8.4490854e-01  1.3359932e+01
 -1.5012716e+01  7.1328192e+00 -9.0910488e-01  1.4955243e-01
 -4.5491118e+00 -5.3859730e+00 -4.9796667e+00  3.7647150e+00
 -7.0970750e+00 -1.9643757e+00 -1.3440471e+00 -7.8850513e+00
 -8.3207541e+00 -3.1526308e+00 -8.6002073e+00  2.4370379e+00
 -1.3390195e+00 -4.8900976e+00  3.1328208e+00  4.7796658e-01
 -2.7028654e+00  1.4232761e+00  1.3000972e+00  2.7798269e+00]",Nata
